Sl. No.,State,Loans from Central Government - 2017-18,Loans from Central Government - 2018-19,Loans from Central Government - 2019-20,Loans from Central Government - 2020-21,Loans from Central Government - 2021-22
1,Andhra Pradesh,947,1990,2030,4564,4895
2,Arunachal Pradesh,0,0,0,233,371
3,Assam,71,89,106,1561,2528
4,Bihar,1391,2534,1278,6580,9450
5,Chhattisgarh,464,553,278,3680,5717
6,Goa,78,72,46,983,1013
7,Gujarat,90,2196,778,11347,13675
8,Haryana,141,125,112,4477,7537
9,Himachal Pradesh,82,68,72,2319,3580
10,Jammu and Kashmir,32,4,4,11,0
11,Jharkhand,232,273,426,2588,3246
12,Karnataka,1943,1444,675,14222,20071
13,Kerala,445,452,2151,7017,9465
14,Madhya Pradesh,1917,3796,4868,11065,12479
15,Maharashtra,165,339,937,15087,18534
16,Manipur,9,0,8,352,254
17,Meghalaya,7,17,16,349,445
18,Mizoram,8,11,10,221,310
19,Nagaland,0,4,7,208,317
20,Odisha,848,981,970,5127,7606
21,Punjab,460,1318,146,8790,12586
22,Rajasthan,1557,2642,4209,7158,9322
23,Sikkim,3,6,1,204,301
24,Tamil Nadu,2730,2340,1990,10951,13511
25,Telangana,637,433,207,2665,4784
26,Tripura,1,0,0,528,526
27,Uttar Pradesh,1103,804,1255,8339,10591
28,Uttarakhand,114,105,70,3061,3683
29,West Bengal,2025,1178,2017,6236,8338
